student_id,faculty,cathedra,rank,scienceStars,sportStars,creationStars,volunteerStars
81213066,Химико-биологический факультет,Кафедра биологии и почвоведения,1,70,43,10,52
98940919,Институт языков и культур,Кафедра иностранных языков,2,24,67,62,75
15513285,Юридический факультет,Кафедра организации судебной и прокурорско-следственной деятельности,3,45,19,89,1
93874423,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,4,10,61,22,10
64232266,Факультет прикладной биотехнологии и инженерии,Кафедра пищевой биотехнологии,5,12,82,75,45
62100228,Архитектурно-строительный факультет,"Кафедра начертательной геометрии, инженерной и компьютерной графики",6,31,71,8,30
39692866,Институт наук о Земле,"Кафедра геологии, геодезии и кадастра",7,12,9,41,13
96075827,Институт менеджмента экономики и предпринимательства,Кафедра государственного и муниципального управления,8,85,6,37,24
15411006,Институт энергетики электроники и связи,"Кафедра автоматизированного электропривода, электромеханики и электротехники",9,65,60,79,91
30899043,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,10,58,13,33,41
65072336,Институт математики и информационных технологий,Кафедра компьютерной безопасности и математического обеспечения информационных систем,11,10,3,24,16
37360947,Институт социальных и гуманитарных наук,Кафедра общей и профессиональной педагогики,12,78,32,93,40
23129414,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",13,31,20,94,87
45174906,Юридический факультет,Кафедра теории государства и права и конституционного права,14,19,51,34,16
43599543,Институт математики и информационных технологий,Кафедра математических методов и моделей в экономике,15,54,36,70,92
16779150,Факультет прикладной биотехнологии и инженерии,Кафедра биотехнологии животного сырья и аквакультуры,16,84,78,98,58
1471188,Физический факультет,Кафедра биофизики и физики конденсированного состояния,17,100,49,19,87
81080367,Химико-биологический факультет,Кафедра химии,18,60,29,7,45
558050,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,19,13,37,51,51
22339661,Институт языков и культур,Кафедра журналистики,20,14,61,64,28
74372808,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,21,39,31,95,9
72414336,Юридический факультет,Кафедра уголовного права,22,41,31,10,59
60143192,Архитектурно-строительный факультет,Кафедра строительных конструкций,23,44,100,70,95
64969898,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,24,53,59,20,50
2657689,Институт социальных и гуманитарных наук,"Кафедра философии, культурологии и социологии",25,44,98,80,16
71543874,Институт языков и культур,Кафедра английской филологии и методики преподавания английского языка,26,1,25,17,62
18922800,Институт языков и культур,Кафедра иностранных языков,27,38,58,34,68
73446350,Институт социальных и гуманитарных наук,Кафедра общей психологии и психологии личности,28,72,89,2,67
80510071,Институт энергетики электроники и связи,"Кафедра автоматизированного электропривода, электромеханики и электротехники",29,88,67,51,6
27977191,Институт менеджмента экономики и предпринимательства,Кафедра маркетинга и торгового дела,30,37,91,18,97
24428293,Институт наук о Земле,Кафедра географии и регионоведения,31,48,6,9,78
95271494,Транспортный факультет,Кафедра автомобильного транспорта,32,33,17,89,80
8096646,Институт математики и информационных технологий,Кафедра информатики,33,48,86,74,13
